p714, 5757, 41
p724, 6392, 85
p373, 6647, 26
p146, 2722, 7
p986, 8798, 41
p777, 5383, 2
p991, 6995, 83
p751, 2824, 0
p952, 9549, 45
p221, 6957, 10
p403, 534, 72
p460, 4846, 55
p317, 1215, 87
p239, 9788, 79
p596, 1406, 91
p634, 8231, 89
p694, 3654, 3
p647, 3865, 24
p336, 3175, 23
p460, 7853, 54
p169, 4299, 93
p417, 4665, 23
p338, 9785, 82
p328, 6282, 15
p173, 2845, 49
p193, 3597, 51
p612, 2961, 69
p786, 2811, 7
p366, 5659, 81
p418, 6314, 87
p182, 3268, 18
p215, 2083, 13
p484, 8425, 5
p265, 3008, 87
p357, 4562, 44
p878, 7690, 15
p279, 7958, 68
p650, 7265, 89
p964, 4053, 93
p702, 8575, 3
p169, 6697, 52
p487, 2613, 9
p193, 2718, 88
p125, 8610, 29
p197, 5839, 2
p821, 8330, 79
p795, 3272, 13
p217, 2182, 81
p181, 5592, 69
p241, 8650, 92
p468, 5446, 75
p498, 1147, 53
p672, 3521, 59
p236, 1936, 44
p260, 779, 92
p493, 1009, 88
p816, 4473, 83
p348, 8943, 65
p696, 1660, 7
p545, 6662, 7
p255, 8047, 42
p653, 1758, 85
p106, 1851, 58
p680, 565, 87
p225, 2092, 33
p889, 7540, 82
p439, 8204, 49
p822, 8678, 96
p631, 3208, 52
p490, 3629, 57
p219, 5809, 69
p940, 2037, 98
p900, 7721, 80
p911, 3158, 5
p949, 1301, 33
p577, 4294, 18
p720, 9123, 41
p582, 2749, 52
p605, 1541, 51
p140, 8097, 74
p531, 436, 96
p326, 6400, 29
p775, 7413, 31
p370, 5640, 92
p185, 2487, 97
p337, 2174, 14
p652, 4950, 77
p395, 1251, 5
p780, 1573, 12
p662, 771, 15
p113, 8522, 62
p550, 6364, 79
p811, 2480, 11
p207, 7606, 48
p453, 3314, 43
p896, 9721, 81
p908, 5349, 54
p179, 2481, 42
p671, 6815, 19
p575, 8167, 61
